model_id,barcode,policy_table9,k,outer_fold,future_point_count,soh_mse,soh_rmse,soh_mae
M3R,EL150800460655,3.6C(22%)-5.5C,100,4,343,0.001206917224143826,0.034740714214647715,0.027945643241551184
M3R,EL150800463229,7C(30%)-3.6C,100,4,865,0.00077256049173492,0.027794972418315512,0.017737805636732648
M3R,EL150800464881,5.4C(60%)-3C,100,4,687,0.0014233570927609214,0.037727405062645394,0.024370794980006744
M3R,EL150800464883,4.4C(80%)-4.4C,100,4,973,0.0023941336005103646,0.048929884533997874,0.03091832264010791
M3R,EL150800440551,4.4C(55%)-6C,100,5,360,0.0029766318095187354,0.05455851729582408,0.04069036325163488
M3R,EL150800453773,6C(60%)-3C,100,5,516,0.0005201727917383142,0.022807296896789724,0.011439548968162168
M3R,EL150800460602,2C(2%)-5C,100,5,337,0.0012933825108823647,0.03596362761016142,0.024084787746987017
M3R,EL150800460604,4.9C(69%)-4.25C,100,5,397,0.0009784809945546943,0.031280680851840395,0.015676458504346475
M3R,EL150800460627,5.6C(58%)-3.5C,100,5,358,0.001299810612098273,0.036052886321323474,0.018438376336197375
M3R,EL150800460640,6C(40%)-3.6C,100,5,630,0.00038090625484497246,0.019516819793321157,0.013180896559833379
M3R,EL150800460641,5.2C(58%)-4C,100,5,419,0.0005080101161181023,0.022539079753133275,0.011732321556720536
M3R,EL150800463871,5.4C(60%)-3.6C,100,5,458,0.0014199072211989088,0.03768165629585447,0.03005569699252266
