replicate,rmse_log_m1,rmse_log_m2,delta_rmse_log_m2_minus_m1,mae_log_m1,mae_log_m2,delta_mae_log_m2_minus_m1,relative_mae_improvement
1240,0.419160128264128,0.35316728601618186,-0.06599284224794616,0.31678322142770216,0.23080068250102004,-0.08598253892668212,0.27142390477364814
1241,0.3710310184772471,0.37044064894691503,-0.000590369530332091,0.2977097803368207,0.2880386007489776,-0.009671179587843137,0.03248525989606868
1242,0.3437097777002794,0.35605152420953406,0.01234174650925468,0.2751549224378599,0.2565558137513282,-0.018599108686531696,0.06759504253728937
1243,0.4238548624666534,0.42053627491947954,-0.0033185875471738457,0.31151079664185277,0.29908832075967395,-0.012422475882178818,0.039878155158972126
1244,0.23551530273842233,0.23576009385494986,0.0002447911165275318,0.1802368708682047,0.1683587413776107,-0.011878129490593997,0.06590288342988204
1245,0.43663244450467137,0.46755344852073344,0.03092100401606207,0.29366066016266934,0.3178719070274913,0.024211246864821956,-0.08244634079147838
1246,0.3923970689626061,0.3752975321217246,-0.017099536840881502,0.26435683428931345,0.22426102330424222,-0.04009581098507123,0.15167306376951908
1247,0.3634743681649695,0.3793967812569434,0.015922413091973953,0.27088950229361314,0.2851207797051263,0.014231277411513144,-0.05253535958764497
1248,0.36989745085635234,0.345386075442317,-0.024511375414035363,0.26841294620625267,0.23005822472106247,-0.0383547214851902,0.14289445433722797
1249,0.31507429063375364,0.30104735996496357,-0.014026930668790072,0.2522959177098705,0.21983401721307672,-0.03246190049679376,0.12866597601521068
1250,0.3856425032751581,0.3857006451656241,5.8141890465990276e-05,0.281688828450294,0.26481598700509973,-0.016872841445194298,0.059898866199344605
1251,0.3690975952593932,0.3926482180915349,0.02355062283214171,0.262198970926524,0.27455772085360125,0.01235874992707725,-0.04713500546323861
1252,0.32956259370549135,0.3245421518650388,-0.0050204418404525275,0.2410660775427675,0.2073253102207001,-0.03374076732206738,0.13996480826333366
1253,0.45549554396388336,0.45524641480584505,-0.00024912915803831925,0.3049370028538831,0.2842446631795445,-0.02069233967433859,0.06785775252160445
1254,0.4337172963332217,0.4365922414645414,0.002874945131319695,0.3403615583000984,0.3147467353916739,-0.025614822908424484,0.07525768490529643
1255,0.3905507287976237,0.39820747334079265,0.007656744543168947,0.28556358229956885,0.27396010385091774,-0.011603478448651117,0.040633607252056926
1256,0.3370123438786632,0.35040391967018875,0.013391575791525556,0.2554399210875902,0.24808035150831056,-0.007359569579279662,0.028811352383545676
1257,0.338126425350906,0.31071554499782994,-0.02741088035307604,0.26252185400327277,0.23128886742086377,-0.031232986582409,0.11897290113614552
1258,0.3755330670581821,0.38951395650388937,0.013980889445707245,0.26331644406665033,0.2617585223521411,-0.0015579217145092472,0.005916537875298468
1259,0.39025404515908185,0.4070811169894054,0.01682707183032356,0.3016369162411007,0.28401954214549185,-0.017617374095608873,0.05840589512434602
1260,0.31709841915384573,0.3447403691275445,0.027641949973698787,0.2423813045220784,0.24585565620703465,0.003474351684956245,-0.014334239564420563
1261,0.341510182896719,0.31859761155413113,-0.02291257134258784,0.26401022063697366,0.21612278833087248,-0.04788743230610118,0.18138476681154184
1262,0.35721021492392674,0.40398485582298393,0.046774640899057196,0.2596159403708111,0.2850908344377936,0.0254748940669825,-0.09812530783200965
1263,0.40612641876427147,0.4110545709115586,0.004928152147287146,0.299531983791816,0.2796081995148744,-0.01992378427694158,0.06651638340828814
1264,0.36324952954586587,0.33345886939214314,-0.029790660153722726,0.2660340496707708,0.20928049505416726,-0.05675355461660356,0.21333192005624335
1265,0.3419397852866979,0.35374788624257725,0.011808100955879364,0.26758310255974554,0.2459070101785901,-0.02167609238115545,0.08100695512458841
1266,0.42442711328967103,0.4009284678674717,-0.023498645422199316,0.32602270388362764,0.2703194591107894,-0.05570324477283822,0.17085694986666097
1267,0.36656045255101116,0.3663885353258411,-0.0001719172251700707,0.28033260950367805,0.2426341269860596,-0.037698482517618453,0.13447769271067922
1268,0.3674163609413322,0.36186879023055335,-0.005547570710778826,0.26288981958858393,0.24237954823526728,-0.02051027135331665,0.07801850746983933
1269,0.40922737964449357,0.37287778764136376,-0.036349592003129816,0.3070695020110946,0.24751621632531579,-0.059553285685778834,0.1939407375064787
1270,0.3611719049822542,0.36485450284789556,0.003682597865641346,0.26522314184782564,0.2453257128124918,-0.01989742903533384,0.07502146644032362
1271,0.4008946704907371,0.3892245796390178,-0.011670090851719328,0.30946779364564314,0.2731982420369174,-0.03626955160872575,0.11719976150492832
1272,0.38215623440473656,0.36452888316509,-0.017627351239646538,0.2814405764293994,0.2447175385800706,-0.036723037849328816,0.13048238571434617
1273,0.2904290008459182,0.30563064278795954,0.015201641942041322,0.19897477557991008,0.19886445774561964,-0.00011031783429044095,0.0005544312537552595
1274,0.37034148141529355,0.3609173416024492,-0.009424139812844345,0.27931307919799353,0.2556028984303478,-0.02371018076764575,0.084887470489123
1275,0.34004594997504295,0.3415061265241743,0.0014601765491313312,0.2549935224616113,0.24498158564061123,-0.010011936821000045,0.039263494712918914
1276,0.30847091427216067,0.3440628440287585,0.03559192975659781,0.24981349993810525,0.2572518900466259,0.007438390108520654,-0.029775773168237978
1277,0.49448261121630793,0.47644900019967146,-0.018033611016636475,0.3601608748804906,0.3157228343022702,-0.04443804057822037,0.12338386448268682
