replicate,method_id,rmse_log,mae_log,rmse_cycle,mae_cycle,overprediction_rate,mean_positive_log_error,mean_positive_cycle_error
814,P2_elasticnet,0.29194654767213296,0.21360083563993987,157.15714719369876,118.9167594268664,0.5952380952380952,0.18478556501070142,98.25587740502075
814,P3_additive_gam,0.23203872779874987,0.1518189336433308,149.60066431162065,94.32661744209476,0.5714285714285714,0.12139762113279991,75.15722251303953
814,C1_restricted_boosting,0.2755283289790577,0.19462090465085874,159.92829825559699,111.35866670641856,0.47619047619047616,0.13999422450398985,77.4958035454166
815,P1_ridge,0.3717008394417331,0.27788731010995615,333.72265978232303,203.03576510047296,0.5853658536585366,0.145861855609101,83.53005065686928
815,P2_elasticnet,0.37939274121011185,0.28460582462771683,337.35496995280494,207.60752984275257,0.5609756097560976,0.15095030852939337,87.39254143553705
815,P3_additive_gam,0.36807529463652255,0.25526004436630306,332.89946027114723,191.18361361386198,0.4634146341463415,0.13567064855692276,83.5571525172309
815,C1_restricted_boosting,0.3304380990464515,0.22400072101437912,305.73012129393084,174.20593738530658,0.4634146341463415,0.1187630255824126,76.74966915193879
816,P1_ridge,0.4038927470204273,0.2842344955460987,378.4029526786152,226.2572068000184,0.5121951219512195,0.10371253233291672,59.346606920881804
816,P2_elasticnet,0.40916202777101135,0.2861553523558019,380.4200041898364,227.58220587799215,0.36585365853658536,0.10606824013375069,61.889070169106716
816,P3_additive_gam,0.40448173689721856,0.27660909401116307,378.3167560479059,223.1919012952057,0.5365853658536586,0.11195620816770943,70.16504549395093
816,C1_restricted_boosting,0.3568871582928903,0.2422220228975391,343.3051335597967,203.19958635119337,0.3902439024390244,0.0835578312267088,55.92027293358053
817,P1_ridge,0.3162558844880176,0.27667914135347554,208.40084064023506,178.35524035820976,0.6,0.16091559501543,89.65973022315492
817,P2_elasticnet,0.3253711294804875,0.27984891425710723,210.620247924622,179.84120776263313,0.575,0.1655362318364616,92.62297173649002
817,P3_additive_gam,0.23419198151021695,0.16775586803886694,165.82563634048213,113.9581299115387,0.45,0.06587096171551014,38.08096936081866
817,C1_restricted_boosting,0.2938413930382273,0.2078783216327576,191.77224707915,131.58152564604404,0.5,0.09197149684006496,51.586733711574425
818,P1_ridge,0.3984431296328607,0.27718669580221045,394.57408505738954,215.5876775489594,0.6,0.12581057911960467,70.42110901951749
818,P2_elasticnet,0.40993335462689906,0.2820628175876084,398.8872898799978,218.3705072150582,0.525,0.1323395871071174,75.409822571592
